YEAR,TEAM,4IN5-B2B GP,4IN5-B2B W%,4IN5-B2B AED,3IN4-B2B GP,3IN4-B2B W%,3IN4-B2B AED,B2B GP,B2B W%,B2B AED,3IN4 GP,3IN4 W%,3IN4 AED,1 DAY GP,1 DAY W%,1 DAY AED,2 DAYS GP,2 DAYS W%,2 DAYS AED,3+ DAYS GP,3+ DAYS W%,3+ DAYS AED
19-20,LA Lakers,,,,5,0.8,14.5,4,1,11.5,7,0.714,7.4,37,0.703,5.2,14,0.786,5,4,0.5,-1
19-20,Memphis,,,,10,0.7,1.4,1,0,-15.8,8,0.5,-4.6,39,0.462,-6.2,9,0.556,-4.9,6,0,-13.9
19-20,Miami,,,,7,0.571,0.4,5,0.4,0.3,10,0.6,9.2,35,0.543,10.2,9,0.778,12.9,7,0.857,17.8
19-20,Milwaukee,,,,11,0.818,9.5,0,0,0,7,0.714,16.6,42,0.738,8.4,7,0.714,8.2,6,1,11.7
19-20,Minnesota,,,,9,0.333,-15.3,0,0,0,8,0.375,-10.8,35,0.229,-14.2,7,0.571,-5.8,5,0.2,-14.7
19-20,New Orleans,,,,5,0.4,-11.9,5,0.8,3.4,8,0.375,-4.2,38,0.316,-6.1,11,0.727,4.2,5,0.2,-12
19-20,New York,,,,7,0.143,-20.1,3,0.333,-7,5,0.6,0.8,37,0.324,-7.4,11,0.273,-17.1,3,0.333,-1.2
19-20,Oklahoma City,,,,8,0.5,1,3,0.667,3.6,9,0.556,3.6,38,0.684,8.6,8,0.5,4.5,6,0.5,3.1
19-20,Orlando,,,,9,0.111,-12.7,2,0,-10.7,9,0.333,-4.2,39,0.564,-1.3,9,0.444,-3.8,5,0.6,-6.9
19-20,Philadelphia,,,,10,0.7,6.9,1,1,17.9,9,0.667,7.1,36,0.528,2.8,13,0.538,0.3,4,0.75,9.3
19-20,Phoenix,,,,8,0.375,-5.6,4,0.5,-0.2,9,0.333,-0.1,36,0.528,2.7,11,0.455,0.3,5,0.4,1.1
19-20,Portland,,,,10,0.3,-1.5,2,0.5,5.9,8,0.625,-0.3,40,0.5,1.9,9,0.444,0,5,0.4,-4.1
19-20,Sacramento,,,,9,0.444,-3.2,2,0.5,8.6,9,0.222,-9.6,36,0.5,0.2,11,0.273,-4.8,5,0.6,-4.1
19-20,San Antonio,,,,8,0.5,-1.6,1,1,20.6,7,0.286,-5.1,40,0.4,-1.8,11,0.545,0.2,4,0.75,5.1
19-20,Toronto,,,,6,0.667,7.9,5,0.8,11.4,9,0.778,10.6,35,0.8,11.9,12,0.5,2.9,5,0.8,12.4
19-20,Utah,,,,7,0.571,3.8,2,0.5,1.3,8,0.25,-9.9,40,0.65,6.4,10,0.8,9,5,0.6,2.1
19-20,Washington,,,,10,0.4,-4.5,0,0,0,7,0.571,-4.9,42,0.333,-5.3,6,0.333,-9.3,7,0.143,-9.3
18-19,Atlanta,,,,8,0.375,-14.5,4,0.5,-3.2,11,0.273,-18.1,40,0.4,-14.8,15,0.333,-14.4,4,0,-18.6
18-19,Boston,,,,6,0.333,-1.4,7,0.429,-2.9,9,0.556,5.1,42,0.643,9,13,0.692,5.5,5,0.6,16.5
18-19,Brooklyn,,,,9,0.222,-9.2,5,0.4,-2.1,9,0.444,5.9,39,0.564,3.4,15,0.6,2.2,5,0.6,3.8
18-19,Charlotte,,,,11,0.364,-2.7,4,0.25,2.7,9,0.556,3.1,37,0.514,4.4,16,0.438,2.1,5,0.6,7.7
18-19,Chicago,,,,10,0.4,-10.6,4,0.25,-31.9,8,0.25,-15,41,0.268,-13.4,15,0.133,-19.2,4,0.5,-7.7
18-19,Cleveland,,,,8,0.375,-6.5,6,0,-13.1,10,0.2,-14.3,40,0.225,-11.3,13,0.308,-1.4,5,0.2,-9.1
18-19,Dallas,,,,10,0.1,-9.1,4,0.25,-2.7,8,0.375,8.8,41,0.39,0.1,14,0.643,2.8,5,0.6,2.5
18-19,Denver,,,,11,0.909,18.8,2,1,17.8,10,0.6,6.4,44,0.545,11.1,7,1,23,8,0.625,11.7
18-19,Detroit,,,,9,0.333,-1.1,4,0.75,4.5,7,0.286,-12.8,44,0.432,-5,14,0.786,7.2,4,0.75,-2.4
18-19,Golden State,,,,12,0.667,8.2,1,1,3,9,0.778,11.9,38,0.658,12.1,19,0.684,8.2,3,1,21.3
18-19,Houston,,,,8,0.625,15.4,4,0.75,21.3,10,0.6,10,42,0.69,15.2,14,0.643,6.6,4,0.25,-3.8
18-19,Indiana,,,,10,0.5,4,4,1,12.3,13,0.538,2.9,37,0.459,-2.1,13,0.769,10.7,5,1,19
18-19,LA Clippers,,,,11,0.455,1.4,3,0.667,-3.8,5,0.4,-10,42,0.595,1.6,18,0.667,2.5,3,0.667,0.2
18-19,LA Lakers,,,,10,0.5,-7.3,3,0.667,3.1,10,0.6,0.9,40,0.35,-9.5,17,0.529,-8.5,2,0.5,-14.4
18-19,Memphis,,,,9,0.333,-12.4,4,0,-8.7,10,0.5,-7.2,39,0.333,-1.5,17,0.647,4.5,3,0.333,-13.1
18-19,Miami,,,,9,0.333,-6.6,3,1,12.5,7,0.429,-1.2,45,0.467,-4.7,13,0.538,0.6,5,0.4,1.4
18-19,Milwaukee,,,,11,0.545,4.2,2,0.5,1.4,8,0.625,10.7,41,0.805,12.9,16,0.688,14.1,4,1,7.9
18-19,Minnesota,,,,9,0.111,-4.8,4,0.5,-0.4,8,0.375,-5.6,40,0.55,2.7,19,0.368,-3.5,2,0.5,7.1
18-19,New Orleans,,,,9,0.222,-6.1,4,0.25,-3.6,11,0.545,-0.2,40,0.425,1.2,13,0.385,-1.6,5,0.4,-5.3
18-19,New York,,,,10,0.2,-14.2,5,0,-20.1,9,0.222,-13.8,38,0.237,-12.6,14,0.214,-16.8,6,0.167,-11.5
18-19,Oklahoma City,,,,10,0.7,3.2,2,0,-3.4,7,0.429,-5.8,43,0.605,0.6,16,0.688,2.4,4,0.5,-1.7
